state,city01,city02
 Alabama ,Birmingham ,Montgomery
 Alaska ,Anchorage ,Juneau
 Arizona ,Phoenix ,Tucson
 Arkansas ,Little Rock ,Fort Smith
 California ,Los Angeles ,San Diego
 Colorado ,Denver ,Colorado Springs
 Connecticut ,Bridgeport ,New Haven
 Delaware ,Wilmington ,Dover
 District of Columbia ,Washington ,Washington 
 Florida ,Jacksonville ,Miami
 Georgia ,Atlanta ,Augusta
 Hawaii ,Honolulu,East Honolulu
 Idaho ,Boise ,Meridian
 Illinois ,Chicago ,Aurora
 Indiana ,Indianapolis ,Fort Wayne
 Iowa ,Des Moines ,Cedar Rapids
 Kansas ,Wichita ,Overland Park
 Kentucky ,Louisville ,Lexington
 Louisiana ,New Orleans ,Baton Rouge
 Maine ,Portland ,Lewiston
 Maryland ,Baltimore ,Frederick
 Massachusetts ,Boston ,Worcester
 Michigan ,Detroit ,Grand Rapids
 Minnesota ,Minneapolis ,Saint Paul
 Mississippi ,Jackson ,Gulfport
 Missouri ,Kansas City ,Saint Louis
 Montana ,Billings ,Missoula
 Nebraska ,Omaha ,Lincoln
 Nevada ,Las Vegas ,Henderson
 New Hampshire ,Manchester ,Nashua
 New Jersey ,Newark ,Jersey City
 New Mexico ,Albuquerque ,Las Cruces
 New York ,New York City ,Buffalo
 North Carolina ,Charlotte ,Raleigh
 North Dakota ,Fargo ,Bismarck
 Ohio ,Columbus ,Cleveland
 Oklahoma ,Oklahoma City ,Tulsa
 Oregon ,Portland ,Salem
 Pennsylvania ,Philadelphia ,Pittsburgh
 Rhode Island ,Providence ,Cranston
 South Carolina ,Charleston ,Columbia
 South Dakota ,Sioux Falls ,Rapid City
 Tennessee ,Nashville ,Memphis
 Texas ,Houston ,San Antonio
 Utah ,Salt Lake City ,West Valley City
 Vermont ,Burlington ,South Burlington
 Virginia ,Virginia Beach ,Norfolk
 Washington ,Seattle ,Spokane
 West Virginia ,Charleston ,Huntington
 Wisconsin ,Milwaukee ,Madison
 Wyoming ,Cheyenne ,Laramie
