year,party,prezPrior,prezName,pSt,pBYr,pAge,prior,vpName,vpSt,vpBYr,vpAge,popVo,eleVo,rank
2016,R,Businessman ,Donald Trump ,NY ,1946,70,Governor ,Mike Pence ,IN ,1959,57,46.1,56.5,1
2016,D,Fmr. Sec. of State ,Hillary Clinton ,NY ,1947,69,Senator ,Tim Kaine ,VA ,1958,58,48.2,42.2,2
2012,D,President ,Barack Obama ,IL ,1961,51,Vice President ,Joe Biden ,DE ,1942,69,51,61.7,1
2012,R,Fmr. Governor ,Mitt Romney ,MA ,1947,65,Representative ,Paul Ryan ,WI ,1970,42,47.2,38.3,2
2008,D,Senator ,Barack Obama ,IL ,1961,47,Senator ,Joe Biden ,DE ,1942,65,52.9,67.8,1
2008,R,Senator ,John McCain ,AZ ,1936,72,Governor ,Sarah Palin ,AK ,1964,44,45.6,32.2,2
2004,R,President ,George W. Bush ,TX ,1946,58,Vice President ,Dick Cheney ,WY ,1941,63,50.7,53.2,1
2004,D,Senator ,John Kerry ,MA ,1943,60,Senator ,John Edwards ,NC ,1953,51,48.3,46.7,2
2000,R,Governor ,George W. Bush ,TX ,1946,54,Fmr. Sec. of Defense ,Dick Cheney ,WY ,1941,59,47.9,50.4,1
2000,D,Vice President ,Al Gore ,TN ,1948,52,Senator ,Joe Lieberman ,CT ,1942,58,48.4,49.4,2
1996,D,President ,Bill Clinton ,AR,1946,50,Vice President ,Al Gore ,TN ,1948,48,49.2,70.4,1
1996,R,Fmr. Senator ,Bob Dole ,KS ,1923,73,Fmr. Sec. of HUD,Jack Kemp ,NY ,1935,61,40.7,29.6,2
1992,D,Governor ,Bill Clinton ,AR,1946,46,Senator ,Al Gore ,TN ,1948,44,43,68.8,1
1992,R,President ,George H. W. Bush ,TX ,1924,68,Vice President ,Dan Quayle ,IN ,1947,45,37.5,31.2,2
1992,I ,Businessman ,Ross Perot ,TX ,1930,62,Admiral ,James Stockdale ,CA ,1923,68,18.9,0,3
1988,R,Vice President ,George H. W. Bush ,TX ,1924,64,Senator ,Dan Quayle ,IN ,1947,41,53.4,79.2,1
1988,D,Governor ,Michael Dukakis ,MA ,1933,55,Senator ,Lloyd Bentsen ,TX ,1921,67,45.7,20.1,2
1984,R,President ,Ronald Reagan ,CA ,1911,73,Vice President ,George H. W. Bush ,TX ,1924,60,58.8,97.6,1
1984,D,Fmr. Vice President ,Walter Mondale ,MN ,1928,56,Representative ,Geraldine Ferraro ,NY ,1935,49,40.6,2.4,2
1980,R,Fmr. Governor ,Ronald Reagan ,CA ,1911,69,Fmr. Ambassador ,George H. W. Bush ,TX ,1924,56,50.8,90.9,1
1980,D,President ,Jimmy Carter ,GA ,1924,56,Vice President ,Walter Mondale ,MN ,1928,52,41,9.1,2
1976,D,Fmr. Governor ,Jimmy Carter ,GA ,1924,52,Senator ,Walter Mondale ,MN ,1928,48,50.1,53.9,1
