cos,sin
1,0
0.994521895,0.104528463
0.978147601,0.207911691
0.951056516,0.309016994
0.913545458,0.406736643
0.866025404,0.5
0.809016994,0.587785252
0.743144825,0.669130606
0.669130606,0.743144825
0.587785252,0.809016994
0.5,0.866025404
0.406736643,0.913545458
0.309016994,0.951056516
0.207911691,0.978147601
0.104528463,0.994521895
0,1
-0.104528463,0.994521895
-0.207911691,0.978147601
-0.309016994,0.951056516
-0.406736643,0.913545458
-0.5,0.866025404
-0.587785252,0.809016994
-0.669130606,0.743144825
-0.743144825,0.669130606
-0.809016994,0.587785252
-0.866025404,0.5
-0.913545458,0.406736643
-0.951056516,0.309016994
-0.978147601,0.207911691
-0.994521895,0.104528463
-1,0
0.85,0
0.845343611,0.088849194
0.831425461,0.176724937
0.808398039,0.262664445
0.776513639,0.345726147
0.736121593,0.425
0.687664445,0.499617464
0.631673101,0.568761015
0.568761015,0.631673101
0.499617464,0.687664445
0.425,0.736121593
0.345726147,0.776513639
0.262664445,0.808398039
0.176724937,0.831425461
0.088849194,0.845343611
0,0.85
-0.088849194,0.845343611
-0.176724937,0.831425461
-0.262664445,0.808398039
-0.345726147,0.776513639
-0.425,0.736121593
-0.499617464,0.687664445
-0.568761015,0.631673101
-0.631673101,0.568761015
-0.687664445,0.499617464
-0.736121593,0.425
-0.776513639,0.345726147
-0.808398039,0.262664445
-0.831425461,0.176724937
-0.845343611,0.088849194
-0.85,0
0.75,0
0.745891421,0.078396347
0.733610701,0.155933768
0.713292387,0.231762746
0.685159094,0.305052482
0.649519053,0.375
0.606762746,0.440838939
0.557358619,0.501847955
0.501847955,0.557358619
0.440838939,0.606762746
0.375,0.649519053
0.305052482,0.685159094
0.231762746,0.713292387
0.155933768,0.733610701
0.078396347,0.745891421
0,0.75
-0.078396347,0.745891421
-0.155933768,0.733610701
-0.231762746,0.713292387
-0.305052482,0.685159094
-0.375,0.649519053
-0.440838939,0.606762746
-0.501847955,0.557358619
-0.557358619,0.501847955
-0.606762746,0.440838939
-0.649519053,0.375
-0.685159094,0.305052482
-0.713292387,0.231762746
-0.733610701,0.155933768
-0.745891421,0.078396347
-0.75,0
0.5625,0
0.559418566,0.05879726
0.550208026,0.116950326
0.53496929,0.173822059
0.51386932,0.228789362
0.48713929,0.28125
0.455072059,0.330629204
0.418018964,0.376385966
0.376385966,0.418018964
0.330629204,0.455072059
0.28125,0.48713929
0.228789362,0.51386932
0.173822059,0.53496929
0.116950326,0.550208026
0.05879726,0.559418566
0,0.5625
-0.05879726,0.559418566
-0.116950326,0.550208026
-0.173822059,0.53496929
-0.228789362,0.51386932
-0.28125,0.48713929
-0.330629204,0.455072059
-0.376385966,0.418018964
-0.418018964,0.376385966
-0.455072059,0.330629204
-0.48713929,0.28125
-0.51386932,0.228789362
-0.53496929,0.173822059
-0.550208026,0.116950326
-0.559418566,0.05879726
-0.5625,0
0.421875,0
0.419563924,0.044097945
0.412656019,0.087712745
0.401226968,0.130366544
0.38540199,0.171592021
0.365354467,0.2109375
0.341304044,0.247971903
0.313514223,0.282289474
0.282289474,0.313514223
0.247971903,0.341304044
0.2109375,0.365354467
0.171592021,0.38540199
0.130366544,0.401226968
0.087712745,0.412656019
0.044097945,0.419563924
0,0.421875
-0.044097945,0.419563924
-0.087712745,0.412656019
-0.130366544,0.401226968
-0.171592021,0.38540199
-0.2109375,0.365354467
-0.247971903,0.341304044
-0.282289474,0.313514223
-0.313514223,0.282289474
-0.341304044,0.247971903
-0.365354467,0.2109375
-0.38540199,0.171592021
-0.401226968,0.130366544
-0.412656019,0.087712745
-0.419563924,0.044097945
-0.421875,0
0.31640625,0
0.314672943,0.033073459
0.309492014,0.065784558
0.300920226,0.097774908
0.289051493,0.128694016
0.27401585,0.158203125
0.255978033,0.185978927
0.235135667,0.211717106
0.211717106,0.235135667
0.185978927,0.255978033
0.158203125,0.27401585
0.128694016,0.289051493
0.097774908,0.300920226
0.065784558,0.309492014
0.033073459,0.314672943
0,0.31640625
-0.033073459,0.314672943
-0.065784558,0.309492014
-0.097774908,0.300920226
-0.128694016,0.289051493
-0.158203125,0.27401585
-0.185978927,0.255978033
-0.211717106,0.235135667
-0.235135667,0.211717106
-0.255978033,0.185978927
-0.27401585,0.158203125
-0.289051493,0.128694016
-0.300920226,0.097774908
-0.309492014,0.065784558
-0.314672943,0.033073459
-0.31640625,0
