state,popTotal,popOver18,percent
Alabama,4903185,3814879, 77.80 
Alaska,731545,551562, 75.40 
Arizona,7278717,5638481, 77.50 
Arkansas,3017804,2317649, 76.80 
California,39512223,30617582, 77.50 
Colorado,5758736,4499217, 78.10 
Connecticut,3565287,2837847, 79.60 
Delaware,973764,770192, 79.10 
District of Columbia,705749,577581, 81.80 
Florida,21477737,17247808, 80.30 
Georgia,10617423,8113542, 76.40 
Hawaii,1415872,1116004, 78.80 
Idaho,1787065,1338864, 74.90 
Illinois,12671821,9853946, 77.80 
Indiana,6732219,5164245, 76.70 
Iowa,3155070,2428229, 77.00 
Kansas,2913314,2213064, 76.00 
Kentucky,4467673,3464802, 77.60 
Louisiana,4648794,3561164, 76.60 
Maine,1344212,1095370, 81.50 
Maryland,6045680,4710993, 77.90 
Massachusetts,6892503,5539703, 80.40 
Michigan,9986857,7842924, 78.50 
Minnesota,5639632,4336475, 76.90 
Mississippi,2976149,2277566, 76.50 
Missouri,6137428,4766843, 77.70 
Montana,1068778,840190, 78.60 
Nebraska,1934408,1458334, 75.40 
Nevada,3080156,2387517, 77.50 
New Hampshire,1359711,1104458, 81.20 
New Jersey,8882190,6943612, 78.20 
New Mexico,2096829,1620991, 77.30 
New York,19453561,15425262, 79.30 
North Carolina,10488084,8187369, 78.10 
North Dakota,762062,581891, 76.40 
Ohio,11689100,9111081, 77.90 
Oklahoma,3956971,3004733, 75.90 
Oregon,4217737,3351175, 79.50 
Pennsylvania,12801989,10167376, 79.40 
Rhode Island,1059361,854866, 80.70 
South Carolina,5148714,4037531, 78.40 
South Dakota,884659,667558, 75.50 
Tennessee,6829174,5319123, 77.90 
Texas,28995881,21596071, 74.50 
Utah,3205958,2274774, 71.00 
Vermont,623989,509984, 81.70 
Virginia,8535519,6674671, 78.20 
Washington,7614893,5951832, 78.20 
West Virginia,1792147,1432580, 79.90 
Wisconsin,5822434,4555837, 78.20 
Wyoming,578759,445025, 76.90 
